class,path,width,height
9,English/Img/GoodImg/Bmp/Sample010/img010-00031.png,20,31
18,English/Img/GoodImg/Bmp/Sample019/img019-00057.png,40,164
10,English/Img/GoodImg/Bmp/Sample011/img011-00308.png,51,90
29,English/Img/GoodImg/Bmp/Sample030/img030-00108.png,61,114
55,English/Img/GoodImg/Bmp/Sample056/img056-00045.png,30,94
39,English/Img/GoodImg/Bmp/Sample040/img040-00045.png,71,115
7,English/Img/GoodImg/Bmp/Sample008/img008-00034.png,66,80
29,English/Img/GoodImg/Bmp/Sample030/img030-00118.png,23,45
46,English/Img/GoodImg/Bmp/Sample047/img047-00030.png,78,104
56,English/Img/GoodImg/Bmp/Sample057/img057-00014.png,44,50
24,English/Img/GoodImg/Bmp/Sample025/img025-00047.png,26,29
14,English/Img/GoodImg/Bmp/Sample015/img015-00222.png,42,90
14,English/Img/GoodImg/Bmp/Sample015/img015-00330.png,47,68
49,English/Img/GoodImg/Bmp/Sample050/img050-00124.png,27,45
50,English/Img/GoodImg/Bmp/Sample051/img051-00030.png,86,108
5,English/Img/GoodImg/Bmp/Sample006/img006-00014.png,71,134
21,English/Img/GoodImg/Bmp/Sample022/img022-00119.png,61,128
10,English/Img/GoodImg/Bmp/Sample011/img011-00361.png,54,76
23,English/Img/GoodImg/Bmp/Sample024/img024-00268.png,25,45
47,English/Img/GoodImg/Bmp/Sample048/img048-00008.png,61,145
44,English/Img/GoodImg/Bmp/Sample045/img045-00103.png,48,129
44,English/Img/GoodImg/Bmp/Sample045/img045-00034.png,47,143
16,English/Img/GoodImg/Bmp/Sample017/img017-00133.png,27,29
13,English/Img/GoodImg/Bmp/Sample014/img014-00089.png,62,57
10,English/Img/GoodImg/Bmp/Sample011/img011-00158.png,153,205
20,English/Img/GoodImg/Bmp/Sample021/img021-00010.png,59,79
10,English/Img/GoodImg/Bmp/Sample011/img011-00460.png,19,18
27,English/Img/GoodImg/Bmp/Sample028/img028-00335.png,39,102
14,English/Img/GoodImg/Bmp/Sample015/img015-00408.png,27,47
45,English/Img/GoodImg/Bmp/Sample046/img046-00031.png,60,110
30,English/Img/GoodImg/Bmp/Sample031/img031-00025.png,76,76
44,English/Img/GoodImg/Bmp/Sample045/img045-00127.png,30,123
2,English/Img/GoodImg/Bmp/Sample003/img003-00030.png,12,18
29,English/Img/GoodImg/Bmp/Sample030/img030-00213.png,10,19
21,English/Img/GoodImg/Bmp/Sample022/img022-00051.png,119,165
20,English/Img/GoodImg/Bmp/Sample021/img021-00061.png,63,119
54,English/Img/GoodImg/Bmp/Sample055/img055-00103.png,97,126
18,English/Img/GoodImg/Bmp/Sample019/img019-00246.png,10,23
14,English/Img/GoodImg/Bmp/Sample015/img015-00353.png,11,21
53,English/Img/GoodImg/Bmp/Sample054/img054-00013.png,25,35
10,English/Img/GoodImg/Bmp/Sample011/img011-00330.png,58,85
13,English/Img/GoodImg/Bmp/Sample014/img014-00004.png,37,52
18,English/Img/GoodImg/Bmp/Sample019/img019-00019.png,35,53
50,English/Img/GoodImg/Bmp/Sample051/img051-00075.png,37,34
14,English/Img/GoodImg/Bmp/Sample015/img015-00215.png,78,135
15,English/Img/GoodImg/Bmp/Sample016/img016-00011.png,24,26
40,English/Img/GoodImg/Bmp/Sample041/img041-00211.png,35,41
13,English/Img/GoodImg/Bmp/Sample014/img014-00079.png,56,58
28,English/Img/GoodImg/Bmp/Sample029/img029-00338.png,63,118
17,English/Img/GoodImg/Bmp/Sample018/img018-00044.png,52,71
14,English/Img/GoodImg/Bmp/Sample015/img015-00166.png,59,110
27,English/Img/GoodImg/Bmp/Sample028/img028-00358.png,30,67
28,English/Img/GoodImg/Bmp/Sample029/img029-00214.png,62,110
33,English/Img/GoodImg/Bmp/Sample034/img034-00054.png,67,111
24,English/Img/GoodImg/Bmp/Sample025/img025-00048.png,30,27
14,English/Img/GoodImg/Bmp/Sample015/img015-00418.png,24,38
17,English/Img/GoodImg/Bmp/Sample018/img018-00115.png,40,53
28,English/Img/GoodImg/Bmp/Sample029/img029-00134.png,18,35
28,English/Img/GoodImg/Bmp/Sample029/img029-00240.png,13,27
23,English/Img/GoodImg/Bmp/Sample024/img024-00009.png,41,42
23,English/Img/GoodImg/Bmp/Sample024/img024-00023.png,272,209
9,English/Img/GoodImg/Bmp/Sample010/img010-00004.png,33,62
25,English/Img/GoodImg/Bmp/Sample026/img026-00102.png,51,82
17,English/Img/GoodImg/Bmp/Sample018/img018-00083.png,52,76
27,English/Img/GoodImg/Bmp/Sample028/img028-00288.png,163,334
21,English/Img/GoodImg/Bmp/Sample022/img022-00007.png,361,351
24,English/Img/GoodImg/Bmp/Sample025/img025-00025.png,304,378
57,English/Img/GoodImg/Bmp/Sample058/img058-00032.png,59,81
35,English/Img/GoodImg/Bmp/Sample036/img036-00003.png,69,188
25,English/Img/GoodImg/Bmp/Sample026/img026-00119.png,23,50
50,English/Img/GoodImg/Bmp/Sample051/img051-00108.png,33,38
32,English/Img/GoodImg/Bmp/Sample033/img033-00055.png,85,83
10,English/Img/GoodImg/Bmp/Sample011/img011-00061.png,29,74
32,English/Img/GoodImg/Bmp/Sample033/img033-00048.png,70,87
39,English/Img/GoodImg/Bmp/Sample040/img040-00004.png,42,56
36,English/Img/GoodImg/Bmp/Sample037/img037-00115.png,42,72
24,English/Img/GoodImg/Bmp/Sample025/img025-00033.png,237,218
25,English/Img/GoodImg/Bmp/Sample026/img026-00092.png,202,205
28,English/Img/GoodImg/Bmp/Sample029/img029-00016.png,124,101
23,English/Img/GoodImg/Bmp/Sample024/img024-00211.png,74,181
49,English/Img/GoodImg/Bmp/Sample050/img050-00122.png,21,25
14,English/Img/GoodImg/Bmp/Sample015/img015-00393.png,17,26
40,English/Img/GoodImg/Bmp/Sample041/img041-00083.png,31,41
17,English/Img/GoodImg/Bmp/Sample018/img018-00109.png,53,88
17,English/Img/GoodImg/Bmp/Sample018/img018-00108.png,52,99
28,English/Img/GoodImg/Bmp/Sample029/img029-00148.png,58,81
10,English/Img/GoodImg/Bmp/Sample011/img011-00122.png,55,74
12,English/Img/GoodImg/Bmp/Sample013/img013-00148.png,54,65
10,English/Img/GoodImg/Bmp/Sample011/img011-00195.png,23,22
12,English/Img/GoodImg/Bmp/Sample013/img013-00006.png,57,52
55,English/Img/GoodImg/Bmp/Sample056/img056-00031.png,50,102
24,English/Img/GoodImg/Bmp/Sample025/img025-00232.png,55,83
24,English/Img/GoodImg/Bmp/Sample025/img025-00373.png,41,50
13,English/Img/GoodImg/Bmp/Sample014/img014-00164.png,27,55
27,English/Img/GoodImg/Bmp/Sample028/img028-00178.png,15,21
22,English/Img/GoodImg/Bmp/Sample023/img023-00016.png,390,199
37,English/Img/GoodImg/Bmp/Sample038/img038-00036.png,167,239
55,English/Img/GoodImg/Bmp/Sample056/img056-00013.png,44,58
28,English/Img/GoodImg/Bmp/Sample029/img029-00268.png,75,80
28,English/Img/GoodImg/Bmp/Sample029/img029-00110.png,71,116
12,English/Img/GoodImg/Bmp/Sample013/img013-00037.png,48,117
58,English/Img/GoodImg/Bmp/Sample059/img059-00014.png,42,32
1,English/Img/GoodImg/Bmp/Sample002/img002-00029.png,29,63
14,English/Img/GoodImg/Bmp/Sample015/img015-00410.png,31,39
34,English/Img/GoodImg/Bmp/Sample035/img035-00004.png,153,156
54,English/Img/GoodImg/Bmp/Sample055/img055-00104.png,101,126
24,English/Img/GoodImg/Bmp/Sample025/img025-00260.png,25,41
18,English/Img/GoodImg/Bmp/Sample019/img019-00290.png,17,52
18,English/Img/GoodImg/Bmp/Sample019/img019-00195.png,46,153
27,English/Img/GoodImg/Bmp/Sample028/img028-00360.png,30,40
29,English/Img/GoodImg/Bmp/Sample030/img030-00084.png,14,22
2,English/Img/GoodImg/Bmp/Sample003/img003-00022.png,73,97
12,English/Img/GoodImg/Bmp/Sample013/img013-00050.png,20,30
16,English/Img/GoodImg/Bmp/Sample017/img017-00035.png,18,24
7,English/Img/GoodImg/Bmp/Sample008/img008-00031.png,58,98
47,English/Img/GoodImg/Bmp/Sample048/img048-00002.png,64,20
10,English/Img/GoodImg/Bmp/Sample011/img011-00138.png,136,175
2,English/Img/GoodImg/Bmp/Sample003/img003-00041.png,58,106
0,English/Img/GoodImg/Bmp/Sample001/img001-00037.png,12,18
27,English/Img/GoodImg/Bmp/Sample028/img028-00175.png,32,42
18,English/Img/GoodImg/Bmp/Sample019/img019-00276.png,15,34
33,English/Img/GoodImg/Bmp/Sample034/img034-00035.png,45,57
3,English/Img/GoodImg/Bmp/Sample004/img004-00004.png,23,26
24,English/Img/GoodImg/Bmp/Sample025/img025-00118.png,14,13
29,English/Img/GoodImg/Bmp/Sample030/img030-00079.png,29,33
49,English/Img/GoodImg/Bmp/Sample050/img050-00046.png,97,169
14,English/Img/GoodImg/Bmp/Sample015/img015-00170.png,61,112
29,English/Img/GoodImg/Bmp/Sample030/img030-00068.png,25,64
36,English/Img/GoodImg/Bmp/Sample037/img037-00029.png,322,338
2,English/Img/GoodImg/Bmp/Sample003/img003-00001.png,99,129
34,English/Img/GoodImg/Bmp/Sample035/img035-00038.png,21,32
24,English/Img/GoodImg/Bmp/Sample025/img025-00343.png,32,42
36,English/Img/GoodImg/Bmp/Sample037/img037-00087.png,28,33
38,English/Img/GoodImg/Bmp/Sample039/img039-00034.png,13,21
21,English/Img/GoodImg/Bmp/Sample022/img022-00102.png,74,87
17,English/Img/GoodImg/Bmp/Sample018/img018-00049.png,129,184
54,English/Img/GoodImg/Bmp/Sample055/img055-00095.png,14,25
53,English/Img/GoodImg/Bmp/Sample054/img054-00046.png,24,41
13,English/Img/GoodImg/Bmp/Sample014/img014-00025.png,54,73
44,English/Img/GoodImg/Bmp/Sample045/img045-00019.png,21,49
49,English/Img/GoodImg/Bmp/Sample050/img050-00033.png,98,79
27,English/Img/GoodImg/Bmp/Sample028/img028-00157.png,75,84
1,English/Img/GoodImg/Bmp/Sample002/img002-00072.png,19,46
52,English/Img/GoodImg/Bmp/Sample053/img053-00051.png,160,203
35,English/Img/GoodImg/Bmp/Sample036/img036-00044.png,73,134
47,English/Img/GoodImg/Bmp/Sample048/img048-00053.png,49,143
24,English/Img/GoodImg/Bmp/Sample025/img025-00337.png,31,38
55,English/Img/GoodImg/Bmp/Sample056/img056-00014.png,29,45
28,English/Img/GoodImg/Bmp/Sample029/img029-00252.png,18,33
60,English/Img/GoodImg/Bmp/Sample061/img061-00021.png,15,22
14,English/Img/GoodImg/Bmp/Sample015/img015-00291.png,41,63
17,English/Img/GoodImg/Bmp/Sample018/img018-00136.png,27,41
11,English/Img/GoodImg/Bmp/Sample012/img012-00031.png,29,43
32,English/Img/GoodImg/Bmp/Sample033/img033-00004.png,172,134
16,English/Img/GoodImg/Bmp/Sample017/img017-00032.png,265,271
10,English/Img/GoodImg/Bmp/Sample011/img011-00091.png,39,51
11,English/Img/GoodImg/Bmp/Sample012/img012-00033.png,92,156
36,English/Img/GoodImg/Bmp/Sample037/img037-00110.png,66,116
54,English/Img/GoodImg/Bmp/Sample055/img055-00098.png,21,36
24,English/Img/GoodImg/Bmp/Sample025/img025-00255.png,18,25
16,English/Img/GoodImg/Bmp/Sample017/img017-00070.png,84,86
28,English/Img/GoodImg/Bmp/Sample029/img029-00116.png,14,24
24,English/Img/GoodImg/Bmp/Sample025/img025-00125.png,15,24
19,English/Img/GoodImg/Bmp/Sample020/img020-00003.png,11,26
28,English/Img/GoodImg/Bmp/Sample029/img029-00075.png,63,81
53,English/Img/GoodImg/Bmp/Sample054/img054-00116.png,45,90
23,English/Img/GoodImg/Bmp/Sample024/img024-00308.png,20,23
25,English/Img/GoodImg/Bmp/Sample026/img026-00022.png,29,50
10,English/Img/GoodImg/Bmp/Sample011/img011-00113.png,134,163
17,English/Img/GoodImg/Bmp/Sample018/img018-00149.png,34,51
28,English/Img/GoodImg/Bmp/Sample029/img029-00025.png,87,60
17,English/Img/GoodImg/Bmp/Sample018/img018-00103.png,30,49
24,English/Img/GoodImg/Bmp/Sample025/img025-00244.png,22,21
14,English/Img/GoodImg/Bmp/Sample015/img015-00436.png,25,40
30,English/Img/GoodImg/Bmp/Sample031/img031-00086.png,37,68
28,English/Img/GoodImg/Bmp/Sample029/img029-00342.png,50,59
50,English/Img/GoodImg/Bmp/Sample051/img051-00115.png,17,26
39,English/Img/GoodImg/Bmp/Sample040/img040-00033.png,168,243
27,English/Img/GoodImg/Bmp/Sample028/img028-00270.png,156,157
12,English/Img/GoodImg/Bmp/Sample013/img013-00026.png,91,87
21,English/Img/GoodImg/Bmp/Sample022/img022-00178.png,32,45
28,English/Img/GoodImg/Bmp/Sample029/img029-00165.png,123,187
18,English/Img/GoodImg/Bmp/Sample019/img019-00083.png,47,149
14,English/Img/GoodImg/Bmp/Sample015/img015-00089.png,61,74
49,English/Img/GoodImg/Bmp/Sample050/img050-00097.png,33,51
13,English/Img/GoodImg/Bmp/Sample014/img014-00093.png,18,24
53,English/Img/GoodImg/Bmp/Sample054/img054-00100.png,141,191
29,English/Img/GoodImg/Bmp/Sample030/img030-00228.png,190,211
40,English/Img/GoodImg/Bmp/Sample041/img041-00073.png,73,95
34,English/Img/GoodImg/Bmp/Sample035/img035-00023.png,61,93
28,English/Img/GoodImg/Bmp/Sample029/img029-00212.png,228,291
27,English/Img/GoodImg/Bmp/Sample028/img028-00298.png,29,36
34,English/Img/GoodImg/Bmp/Sample035/img035-00046.png,195,223
16,English/Img/GoodImg/Bmp/Sample017/img017-00038.png,19,45
21,English/Img/GoodImg/Bmp/Sample022/img022-00163.png,32,63
40,English/Img/GoodImg/Bmp/Sample041/img041-00157.png,81,123
22,English/Img/GoodImg/Bmp/Sample023/img023-00068.png,62,69
10,English/Img/GoodImg/Bmp/Sample011/img011-00214.png,78,95
55,English/Img/GoodImg/Bmp/Sample056/img056-00075.png,15,48
11,English/Img/GoodImg/Bmp/Sample012/img012-00032.png,57,49
12,English/Img/GoodImg/Bmp/Sample013/img013-00131.png,61,43
40,English/Img/GoodImg/Bmp/Sample041/img041-00127.png,19,25
53,English/Img/GoodImg/Bmp/Sample054/img054-00029.png,61,65
2,English/Img/GoodImg/Bmp/Sample003/img003-00046.png,65,77
29,English/Img/GoodImg/Bmp/Sample030/img030-00067.png,27,36
18,English/Img/GoodImg/Bmp/Sample019/img019-00042.png,45,128
40,English/Img/GoodImg/Bmp/Sample041/img041-00196.png,97,96
27,English/Img/GoodImg/Bmp/Sample028/img028-00092.png,70,115
23,English/Img/GoodImg/Bmp/Sample024/img024-00141.png,69,75
38,English/Img/GoodImg/Bmp/Sample039/img039-00002.png,136,83
41,English/Img/GoodImg/Bmp/Sample042/img042-00019.png,124,213
49,English/Img/GoodImg/Bmp/Sample050/img050-00070.png,12,16
21,English/Img/GoodImg/Bmp/Sample022/img022-00158.png,48,76
21,English/Img/GoodImg/Bmp/Sample022/img022-00166.png,13,23
20,English/Img/GoodImg/Bmp/Sample021/img021-00029.png,59,110
10,English/Img/GoodImg/Bmp/Sample011/img011-00142.png,49,72
12,English/Img/GoodImg/Bmp/Sample013/img013-00022.png,43,41
29,English/Img/GoodImg/Bmp/Sample030/img030-00048.png,37,61
19,English/Img/GoodImg/Bmp/Sample020/img020-00059.png,99,199
53,English/Img/GoodImg/Bmp/Sample054/img054-00001.png,23,30
35,English/Img/GoodImg/Bmp/Sample036/img036-00030.png,80,130
22,English/Img/GoodImg/Bmp/Sample023/img023-00087.png,143,186
29,English/Img/GoodImg/Bmp/Sample030/img030-00148.png,125,173
10,English/Img/GoodImg/Bmp/Sample011/img011-00066.png,22,24
10,English/Img/GoodImg/Bmp/Sample011/img011-00469.png,21,24
27,English/Img/GoodImg/Bmp/Sample028/img028-00016.png,121,107
33,English/Img/GoodImg/Bmp/Sample034/img034-00070.png,152,151
14,English/Img/GoodImg/Bmp/Sample015/img015-00183.png,42,38
50,English/Img/GoodImg/Bmp/Sample051/img051-00021.png,138,157
24,English/Img/GoodImg/Bmp/Sample025/img025-00235.png,71,141
14,English/Img/GoodImg/Bmp/Sample015/img015-00050.png,80,75
19,English/Img/GoodImg/Bmp/Sample020/img020-00031.png,147,131
14,English/Img/GoodImg/Bmp/Sample015/img015-00345.png,13,34
11,English/Img/GoodImg/Bmp/Sample012/img012-00055.png,156,246
26,English/Img/GoodImg/Bmp/Sample027/img027-00034.png,193,199
54,English/Img/GoodImg/Bmp/Sample055/img055-00085.png,45,98
40,English/Img/GoodImg/Bmp/Sample041/img041-00059.png,50,113
17,English/Img/GoodImg/Bmp/Sample018/img018-00028.png,39,56
19,English/Img/GoodImg/Bmp/Sample020/img020-00046.png,71,77
42,English/Img/GoodImg/Bmp/Sample043/img043-00024.png,24,53
29,English/Img/GoodImg/Bmp/Sample030/img030-00049.png,76,94
28,English/Img/GoodImg/Bmp/Sample029/img029-00225.png,191,378
38,English/Img/GoodImg/Bmp/Sample039/img039-00019.png,12,15
28,English/Img/GoodImg/Bmp/Sample029/img029-00227.png,47,81
1,English/Img/GoodImg/Bmp/Sample002/img002-00060.png,25,52
23,English/Img/GoodImg/Bmp/Sample024/img024-00235.png,62,95
28,English/Img/GoodImg/Bmp/Sample029/img029-00084.png,30,42
31,English/Img/GoodImg/Bmp/Sample032/img032-00078.png,34,64
60,English/Img/GoodImg/Bmp/Sample061/img061-00008.png,26,44
27,English/Img/GoodImg/Bmp/Sample028/img028-00009.png,46,60
13,English/Img/GoodImg/Bmp/Sample014/img014-00066.png,15,22
31,English/Img/GoodImg/Bmp/Sample032/img032-00018.png,66,82
25,English/Img/GoodImg/Bmp/Sample026/img026-00003.png,102,117
10,English/Img/GoodImg/Bmp/Sample011/img011-00085.png,60,65
14,English/Img/GoodImg/Bmp/Sample015/img015-00104.png,17,28
50,English/Img/GoodImg/Bmp/Sample051/img051-00128.png,157,207
10,English/Img/GoodImg/Bmp/Sample011/img011-00170.png,149,146
22,English/Img/GoodImg/Bmp/Sample023/img023-00148.png,29,46
18,English/Img/GoodImg/Bmp/Sample019/img019-00229.png,68,89
15,English/Img/GoodImg/Bmp/Sample016/img016-00016.png,36,49
0,English/Img/GoodImg/Bmp/Sample001/img001-00079.png,14,31
29,English/Img/GoodImg/Bmp/Sample030/img030-00168.png,69,89
10,English/Img/GoodImg/Bmp/Sample011/img011-00397.png,44,51
0,English/Img/GoodImg/Bmp/Sample001/img001-00010.png,55,66
10,English/Img/GoodImg/Bmp/Sample011/img011-00109.png,39,73
36,English/Img/GoodImg/Bmp/Sample037/img037-00141.png,62,96
35,English/Img/GoodImg/Bmp/Sample036/img036-00010.png,50,75
27,English/Img/GoodImg/Bmp/Sample028/img028-00384.png,41,55
10,English/Img/GoodImg/Bmp/Sample011/img011-00208.png,22,20
13,English/Img/GoodImg/Bmp/Sample014/img014-00177.png,34,40
10,English/Img/GoodImg/Bmp/Sample011/img011-00145.png,56,59
46,English/Img/GoodImg/Bmp/Sample047/img047-00025.png,57,92
28,English/Img/GoodImg/Bmp/Sample029/img029-00029.png,152,166
25,English/Img/GoodImg/Bmp/Sample026/img026-00019.png,19,35
24,English/Img/GoodImg/Bmp/Sample025/img025-00095.png,119,224
10,English/Img/GoodImg/Bmp/Sample011/img011-00471.png,15,26
14,English/Img/GoodImg/Bmp/Sample015/img015-00014.png,40,62
40,English/Img/GoodImg/Bmp/Sample041/img041-00146.png,28,42
27,English/Img/GoodImg/Bmp/Sample028/img028-00374.png,74,85
1,English/Img/GoodImg/Bmp/Sample002/img002-00039.png,36,77
29,English/Img/GoodImg/Bmp/Sample030/img030-00105.png,72,102
29,English/Img/GoodImg/Bmp/Sample030/img030-00003.png,45,82
21,English/Img/GoodImg/Bmp/Sample022/img022-00088.png,33,40
31,English/Img/GoodImg/Bmp/Sample032/img032-00047.png,85,91
25,English/Img/GoodImg/Bmp/Sample026/img026-00058.png,66,127
54,English/Img/GoodImg/Bmp/Sample055/img055-00053.png,26,29
14,English/Img/GoodImg/Bmp/Sample015/img015-00427.png,47,79
14,English/Img/GoodImg/Bmp/Sample015/img015-00119.png,123,182
8,English/Img/GoodImg/Bmp/Sample009/img009-00020.png,66,82
38,English/Img/GoodImg/Bmp/Sample039/img039-00023.png,29,30
29,English/Img/GoodImg/Bmp/Sample030/img030-00268.png,15,23
39,English/Img/GoodImg/Bmp/Sample040/img040-00035.png,58,79
12,English/Img/GoodImg/Bmp/Sample013/img013-00097.png,20,18
4,English/Img/GoodImg/Bmp/Sample005/img005-00047.png,32,44
40,English/Img/GoodImg/Bmp/Sample041/img041-00166.png,51,44
10,English/Img/GoodImg/Bmp/Sample011/img011-00048.png,534,426
14,English/Img/GoodImg/Bmp/Sample015/img015-00214.png,65,134
28,English/Img/GoodImg/Bmp/Sample029/img029-00210.png,41,72
